Gear,Price,Encumbrance,Rarity0to10,Features,Category
OR-Series Tech Recycling Station,"1,500",10,5,Recover materials from crafting and scavenging,Industrial Tools
Powered Entrenching Tool,625,5,4,Assists in building,Industrial Tools
Repulsor Clamp,250,3,1,Can lift large cargo off the ground by repulsor technology,Industrial Tools
Rivet Gun,900,4,1,"Assists in repairs, can be used as a weapon",Industrial Tools
Slicewire,200,1,7,"Wire for cutting through any material, can be used as a weapon",Industrial Tools
Surveyor's Tools,500,6,6,Assists in plotting locations and making maps,Industrial Tools
Tool Belt,500,3,5,Counts as a tool kit and allows quick access to tools,Industrial Tools
Tool Kit,350,4,2,Enables repairs on mechanical objects,Industrial Tools
Vibro-Pickaxe,650,5,3,"Enables breaking solid materials, can be used as a weapon",Industrial Tools
Welding Rod,"1,750",4,5,"Assists in repairs, is a weapon",Industrial Tools
X5R Heavy Demolitions Kit,"1,000",4,6,Improves ability to work with explosives,Industrial Tools
Adamite Signet Ring,500,0,8,Signifies being part of the Paladins of the Adamite Tower,Other Equipment
Ardos Disk,"10,000 (Restricted)",1,5,Token of safe passage with a hutt clan,Other Equipment
Cultural Etiquette Manual,35,0,3,Indicates cultural norms of a specific species,Other Equipment
Diplomatic Authorization,"10,000 (Restricted)",0,8,Provides a degree of diplomatic privileges,Other Equipment
Falsified Credentials,800 (Restricted),0,7,Appear as some official,Other Equipment
Insider's Guide,25,0,2,Assists in finding services in specific region,Other Equipment
Military Field Manual,25,1,4,Contains knowledge on military procedures,Other Equipment
Musical Instrument (common),50-100,1-5,2,Instrument for playing music,Other Equipment
Musical Instrument (high quality),500-1500,1-5,4,Instrument for playing music,Other Equipment
Musical Instrument (legendary),"20,000+",1-5,10,Instrument for playing music,Other Equipment
Species Database,150,2,2,Improves xenology ability,Other Equipment
Urban Compass,125,1,1,Provides navigation assistance in cities,Other Equipment
Wizard Pouch,50,-,4,Increases carrying capacity,Other Equipment
WJ-880 Blinding Helmet,10 (Restricted),3,8,Blinds user,Other Equipment
Workshop Manual,100,1,-,Maintenance and repairs of specific vehicle is easier,Other Equipment
AG/L Mk.III Targeting Goggles,"1,000",1,5,Enhances enemy vehicle size for hitting,Specialist Tools
Agent's Bag,200,2,7,Securely contains gear and attachments,Specialist Tools
Communications Media Manipulator,400,6,6,Allows printing of posters and enhancement of holoprojections,Specialist Tools
Concealed Escape Kit,450,0,7,Includes a number of small tools for use in escapes,Specialist Tools
Consolidated Learning Systems Transliterator,"1,200",1,3,Allows for translation of different languages to basic,Specialist Tools
"CorChemCo ""Quickflash"" Burning Gel",150,1,5,Burns through virtually any material,Specialist Tools
Credit Cleaner,"2,500 (Restricted)",12,7,Makes credits untraceable,Specialist Tools
Data Breaker,"1,000 (Restricted)",1,6,Allows to slice into computer systems,Specialist Tools
Excavator's Precision Tool Kit,500,5,7,Designed for archeological digs,Specialist Tools
Explosive Ordnance Disposal (EOD) Kit,400,4,5,Assists in identifying and neutralizing explosives,Specialist Tools
Explosives Belt,450 (Restricted),1,7,Conceals explosives for stealthy charge setting,Specialist Tools
Fingerprint Masque,"1,000 (Restricted)",0,7,Mimics fingerprints for scanners,Specialist Tools
Flesh Camouflage Set,"2,500 (Restricted)",2,7,Disguises both physically and biologically,Specialist Tools
Forgery Tools,650 (Restricted),2,8,Enables the creation of a forged document,Specialist Tools
Garrote Chrono,100 (Restricted),0,5,Conceals a garrote in a chrono,Specialist Tools
Holographic Disguise Matrix,"10,000 (Restricted)",1,9,Projects a holographic disguise based off a prior recorded person,Specialist Tools
Holographic Image Disguiser,"1,100",2,6,Projects a holographic disguise,Specialist Tools
Lightsaber Maintenance Kit,700 (Restricted),2,9,"Equivalent to a tool kit, specialised for lightsabers",Specialist Tools
"MDD-12 ""Mercantiler"" Datapad",250,1,3,Provides additional info for trades in a specific region,Specialist Tools
Microaxial Starmapper Handheld Navicomputer,"3,500",1,8,Handheld navigation assist for use in known space,Specialist Tools
MicroData P-2 Pocket Attache,800,1,6,Datapad which is harder to slice,Specialist Tools
Military Modular Backpack (frame),10,-,2,"Frame for installing 2 options, from number of different modules",Specialist Tools
Military Modular Backpack (temperature control unit),500,2,3,Reduces effect of environmental temperature,Specialist Tools
Military Modular Backpack (power unit),250,3,3,Portable generator which recharges equipment,Specialist Tools
Military Modular Backpack (comms unit),500,2,4,Communications relay and encryption at long ranges,Specialist Tools
Military Modular Backpack (sensor unit),"3,000",2,3,Passive detection of movement and lifesigns,Specialist Tools
Military Modular Backpack (oxygen unit),300,3,3,Provides 12 hours of oxygen,Specialist Tools
Military Modular Backpack (storage unit),25,-,2,Increases carrying capacity,Specialist Tools
Mon Calamari Organic Gill,200,1,5,Allows breathing underwater,Specialist Tools
Nano-Droids,"50,000 (Restricted)",-,9,"Near invisible, can detonate like a thermal detonator",Specialist Tools
Pioneer Squad Tool Kit,"4,000",25,5,Contains 6 individuals worth of building tools,Specialist Tools
Poisoner's Ring,500 (Restricted),0,7,Contains single dose for concealed use,Specialist Tools
Saline Pump,"2,500",1,7,Improves a clawdite's shapeshifting ability,Specialist Tools
Sleight Box,400 (Restricted),2-20,6,Can hide items within box,Specialist Tools
Specimen Container (tiny),10,0,1,Sealed & resistant container with life-support,Specialist Tools
Specimen Container (small),25,1,2,Sealed & resistant container with life-support,Specialist Tools
Specimen Container (medium),50,3,2,Sealed & resistant container with life-support,Specialist Tools
Specimen Container (large),150,5,3,Sealed & resistant container with life-support,Specialist Tools
Synoptic Teacher,"8,500",1,4,Rapidly teaches one to become an expert in a skill temporarily,Specialist Tools
TranLang Holo V A/V Translator,750,1,3,Improves ability to understand an unknown language,Specialist Tools
Verpine Bond Gauntlets,250,1,6,Increases stability of hands and arms,Specialist Tools
Verpine Headband,500,1,6,Suffer wounds instead of falling unconscious from excess strain,Specialist Tools
