Name,Skill,Dam,Crit,Range,Encum,HP,(R),Price,Rarity,Special
"C-10 ""Dragoneye Reaper"" Heavy Blaster Pistol",Ranged (Light),8,3,Medium,3,3,,"1,000",7,Stun setting
CDEF Blaster Pistol,Ranged (Light),5,4,Medium,1,1,,150,4,"Inferior, Stun setting"
CR-2 Heavy Blaster Pistol,Ranged (Light),7,4,Medium,2,2,,600,5,Stun setting
CR-8 Takedown Rifle,Ranged (Heavy),9,3,Extreme,4,1,(R),"3,250",7,"Accurate 2, Prepare 2, Pierce 2, Slow-Firing 1"
HL-27 Light Blaster Pistol,Ranged (Light),5,3,Medium,1,2,,450,4,"Accurate 1, Stun setting"
"CS14 ""Ghost"" Light Blaster Pistol",Ranged (Light),5,3,Short,1,0,(R),550,6,Stun setting
Cybernetic Weapon Implant (light blaster pistol),Ranged (Light),5,4,Medium,-,2,,"4,000",7,Stun setting
411 Holdout Blaster,Ranged (Light),4,4,Medium,1,1,(R),350,5,Stun setting
DC-12U Beam Rifle,Ranged (Heavy),7,3,Medium,3,3,(R),"1,600",7,Linked 1
DC-15 Blaster Rifle,Ranged (Heavy),10,3,Long,6,4,(R),"2,200",6,"Cumbersome 3, Pierce 1, Stun setting"
DC-15A Blaster Carbine (CotR),Ranged (Heavy),9,3,Medium,3,4,(R),"1,400",5,"Auto-fire, Pierce 1, Stun setting"
DC-15A Blaster Carbine (RotS),Ranged (Heavy),9,3,Medium,3,4,(R),"1,500",5,"Auto-fire, Pierce 1, Stun setting"
DC-17 Hand Blaster,Ranged (Light),7,3,Medium,2,3,(R),"1,000",6,"Accurate 1, Stun setting"
DDC-MR6 Modular Rifle,Ranged (Heavy),7,3,Medium,3,6,,"1,000",6,Stun setting
DE-10 Blaster Pistol,Ranged (Light),6,2,Long,1,2,,"1,400",8,"Accurate 1, Stun setting"
Defender Sporting Blaster Pistol,Ranged (Light),5,3,Medium,1,1,,650,6,"Stun setting, Accurate 1"
DH-17 Blaster Carbine (GaG),Ranged (Heavy),8,3,Medium,2,3,,900,6,"Auto-fire, Inaccurate 2, Stun setting"
DH-17 Blaster Carbine (FiB),Ranged (Heavy),8,3,Medium,2,3,,900,6,"Auto-fire, Inaccurate 1, Stun setting"
DH-X Heavy Blaster Rifle,Ranged (Heavy),10,3,Long,7,4,,"1,900",6,"Cumbersome 3, Pierce 2"
Disruptor Pistol,Ranged (Light),10,2,Short,2,2,(R),"3,000",6,Vicious 4
Disruptor Rifle,Ranged (Heavy),10,2,Long,5,4,(R),"5,000",6,"Cumbersome 2, Vicious 5"
DL-19C Blaster Pistol (GaG),Ranged (Light),5,4,Medium,1,4,,"1,000",4,Stun setting
DL-19C Blaster Pistol (SM),Ranged (Light),5,4,Medium,1,4,,450,4,Stun setting
DLS-12 Heavy Blaster Carbine,Ranged (Heavy),10,3,Medium,4,3,,"1,350",7,"Auto-fire, Cumbersome 2"
DLT-19D Heavy Blaster Rifle,Ranged (Heavy),10,3,Long,5,1,(R),"3,100",9,"Accurate 2, Auto-fire, Cumbersome 3, Pierce 2"
"DR-45 ""Dragoon"" Cavalry Blaster (pistol mode | GaG)",Ranged (Light),8,3,Medium,1,3,,"1,900",6,"Accurate, Stun setting"
"DR-45 ""Dragoon"" Cavalry Blaster (carbine mode | GaG)",Ranged (Heavy),8,3,Medium,1,3,,"1,900",6,"Accurate, Stun setting"
"DR-45 ""Dragoon"" Cavalry Blaster (pistol mode | SoT)",Ranged (Light),8,3,Medium,1,3,,"1,900",6,"Accurate 1, Stun setting"
"DR-45 ""Dragoon"" Cavalry Blaster (carbine mode | SoT)",Ranged (Heavy),8,3,Medium,1,3,,"1,900",6,"Accurate 1, Stun setting"
Droid Disruptor,Ranged (Light),6,3,Short,2,1,,800,7,Vicious 3 (droid only)
Dueling Pistol (GaG),Ranged (Light),9,2,Short,2,2,,750,5,"Accurate 1, Limited Ammo 1, Prepare 1"
Dueling Pistol (SoF),Ranged (Light),9,2,Short,2,2,,750,5,"Accurate 1, Limited Ammo 1, Pierce 1"
E-11D Blaster Carbine,Ranged (Heavy),9,3,Medium,3,2,(R),"1,400",9,Stun setting
E-11s Sniper Rifle (GaG),Ranged (Heavy),10,3,Extreme,6,3,(R),"3,500",7,"Accurate 1, Cumbersome 2, Pierce 3, Slow-Firing 1"
E-11s Sniper Rifle (EtU),Ranged (Heavy),10,3,Extreme,6,3,(R),"3,500",7,"Accurate 1, Cumbersome 2, Pierce 3, Slow-Firing 1"
E-22 Blaster Rifle,Ranged (Heavy),8,3,Medium,4,2,(R),"1,500",8,"Cumbersome 2, Linked 1,Stun setting"
E-5 Blaster Rifle,Ranged (Heavy),9,3,Long,2,2,,600,4,Stun setting
E5 Blaster Carbine,Ranged (Heavy),9,3,Medium,3,4,,550,3,"Inaccurate 1, Stun setting"
EE-3 Blaster Carbine,Ranged (Heavy),8,3,Medium,3,3,,"1,500",6,"Auto-fire, Stun setting"
ELG-3A Blaster Pistol,Ranged (Light),6,4,Short,1,0,,400,5,Stun setting
GALAAR-15 Blaster Carbine,Ranged (Heavy),9,2,Long,4,4,,"1,100",7,"Accurate 1, Stun setting"
GLX Firelance Blaster Rifle,Ranged (Heavy),7,3,Long,3,3,,"1,600",6,"Auto-fire, Disorient 2, Stun setting"
"H-7 ""Equalizer"" Blaster Pistol",Ranged (Light),7,2,Medium,2,3,,"1,200",8,"Stun setting, Superior"
HBt-4 Hunting Blaster,Ranged (Heavy),10,3,Medium,5,2,,900,6,"Cumbersome 2, Stun setting"
Heartwood Blaster,Ranged (Heavy),6,5,Medium,3,1,,"1,000",6,"Cumbersome 2, Stun 3"
Heavy Blaster Pistol,Ranged (Light),7,3,Medium,2,3,,700,6,Stun setting
Heavy Blaster Rifle,Ranged (Heavy),10,3,Long,6,4,,"1,500",6,"Auto-fire, Cumbersome 3"
Heavy Repeating Blaster,Gunnery,15,2,Long,9,4,(R),"6,000",8,"Auto-fire, Cumbersome 5, Pierce 2, Vicious 1"
HH-50 Heavy Blaster Pistol,Ranged (Light),7,3,Short,3,2,,"1,300",7,"Linked 1, Stun Setting, Vicious 1"
HOB Heavy Repeating Blaster (GaG),Ranged (Heavy),10,3,Long,6,4,,"1,500",6,"Auto-fire, Cumbersome 3"
HOB Heavy Repeating Blaster (DC),Gunnery,15,3,Extreme,10,4,(R),"6,500",8,"Auto-fire, Cumbersome 6, Pierce 2, Vicious 1"
Holdout Blaster,Ranged (Light),5,4,Short,1,1,,200,4,Stun setting
Imperial Heavy Repeater,Ranged (Heavy),8,4,Medium,3,2,(R),"1,500",7,"Auto-fire, Cumbersome 4"
"Ionization Blaster (GaG, AoR)",Ranged (Light),10,5,Short,3,3,,250,3,"Disorient 5, Ion"
Ionization Blaster (EotE),Ranged (Light),10,5,Short,3,3,,250,3,"Disorient 5, Stun Damage (Droid Only)"
"IR-5 ""Intimidator"" Blaster Pistol",Ranged (Light),5,3,Medium,2,2,(R),750,6,"Auto-fire, Inaccurate 1"
J-10 Dual Blaster Cannon,Gunnery,13,2,Long,8,3,(R),"6,750",7,"Cumbersome 5, Inaccurate 1, Linked 1"
KO-2 Heavy Stun Pistol,Ranged (Light),8,-,Short,2,3,,650,5,Stun Damage
L7 Liquidsilver Light Blaster Pistol (GaG),Ranged (Light),6,3,Medium,1,1,,"1,000",5,"Accurate 1, Pierce 2"
L7 Liquidsilver Light Blaster Pistol (FC),Ranged (Light),6,3,Medium,1,1,,425,4,Stun setting
LBR-9 Stun Rifle,Ranged (Heavy),10,-,Long,6,4,,"2,800",4,"Disorient 2, Stun Damage"
LD-1 Target Rifle,Ranged (Heavy),9,4,Extreme,6,3,,"1,275",7,"Accurate 2, Cumbersome 3, Pierce 3, Slow-Firing 1"
Light Blaster Pistol,Ranged (Light),5,4,Medium,1,2,,300,4,Stun setting
Light Repeating Blaster,Ranged (Heavy),11,3,Long,7,4,(R),"2,250",7,"Auto-fire, Cumbersome 4, Pierce 1"
LJ-40 Concussion Carbine,Ranged (Heavy),8,3,Short,4,1,(R),"2,500",8,"Blast 3, Concussive 1, Knockdown, Limited Ammo 3"
LJ-50 Concussion Rifle,Ranged (Heavy),10,2,Medium,6,2,(R),"2,000",7,"Blast 4, Concussive 2, Cumbersome 3, Knockdown, Limited Ammo 4"
Lucky Blaster,Ranged (Light),5,4,Medium,1,2,,400,10,Stun setting
M-300 Hunting Blaster (GaG),Ranged (Heavy),8,3,Extreme,4,1,,"1,600",6,"Accurate 1, Cumbersome 2, Pierce 2, Stun Damage"
M-300 Hunting Blaster (SS Errata),Ranged (Heavy),8,3,Extreme,4,1,,"1,600",6,"Accurate 1, Cumbersome 2, Pierce 2, Stun setting"
Model 44 Blaster Pistol,Ranged (Light),6,3,Medium,1,4,,500,4,Stun setting
Military Holdout Blaster,Ranged (Light),6,3,Short,1,0,,500,5,Stun setting
"Model 53 ""Quicktrigger"" Blaster Pistol",Ranged (Light),6,3,Medium,1,4,,450,4,Stun setting
Model 80 Blaster Pistol,Ranged (Light),6,2,Medium,2,3,,550,5,Stun setting
Model Q4 Quickfire Holdout Blaster,Ranged (Light),5,3,Short,1,0,,250,4,Stun setting
"Model-1 ""Nova Viper"" Blaster Pistol",Ranged (Light),7,3,Medium,2,2,,"4,500",9,"Accurate 2, Pierce 2, Stun setting"
Mon Calamari Battle Baton,Ranged (Light),5,4,Medium,1,1,,250,6,Stun setting
Mon Calamari Spear Blaster,Ranged (Heavy),8,3,Long,5,3,,"1,350",5,Stun setting
MR-90 Proton Rifle (GaG),Ranged (Heavy),10,2,Extreme,6,3,(R),"3,100",8,"Accurate 1, Cumbersome 3, Knockdown"
MR-90 Proton Rifle (KoF),Ranged (Heavy),10,2,Extreme,6,2,(R),"3,100",8,"Accurate 1, Cumbersome 3, Knockdown"
"MWC-35c ""Staccato Lightning"" Repeating Cannon (standard mode)",Gunnery,9,3,Long,5,2,,"3,000",7,"Auto-fire, Cumbersome 3, Pierce 2, Vicious 1"
"MWC-35c ""Staccato Lightning"" Repeating Cannon (single-shot mode)",Gunnery,13,3,Long,5,2,,"3,000",7,"Cumbersome 3, Pierce 4, Prepare 1, Vicious 2"
Nightstinger Blaster Rifle,Ranged (Heavy),10,2,Extreme,7,4,,"6,500",9,"Accurate 2, Cumbersome 3, Pierce 1, Stun setting"
OK-98 Blaster Carbine (stock),Ranged (Heavy),9,3,Medium,4,3,,"1,100",5,Stun setting
OK-98 Blaster Carbine (modified),Ranged (Heavy),11,3,Medium,4,3,,"1,100",5,Stun setting
PB08 Heavy Blaster Pistol,Ranged (Light),6,3,Medium,2,2,,800,6,Stun setting
Pistol Hilt (stun blaster),Ranged (Light),6,3,Short,-,-,,750,5,Stun Damage
Pulse Cannon,Ranged (Heavy),9,3,Extreme,5,1,(R),"2,750",6,"Cumbersome 3, Pierce 2, Slow-Firing 1"
Reciprocating Quad Blaster Cannon,Gunnery,10,2,Long,8,4,(R),"9,950",8,"Auto-fire (Only), Breach 1, Cumbersome 4, Inaccurate 1, Prepare 2"
SE-14C Blaster Pistol,Ranged (Light),5,4,Short,1,2,,650,6,"Auto-fire, Stun setting"
Secondary Ion Blaster,Ranged (Heavy),10,5,Short,2,-,,400,6,"Disorient 5, Ion"
Site-145 Replica Blaster Pistol,Ranged (Light),6,3,Medium,1,0,(R),"1,750",8,Stun setting
SKZ Sporting Blaster,Ranged (Heavy),8,4,Long,3,4,,600,4,Stun setting
Spukami Pocket Blaster,Ranged (Light),5,3,Short,1,1,,200,2,Stun setting
SSB-1 Static Pistol,Ranged (Light),2,4,Short,2,1,,850,7,"Disorient 1, Stun 8"
"Mk II ""Paladin"" Blaster Rifle",Ranged (Heavy),8,3,Long,4,2,,"3,250",8,"Auto-fire, Pierce 1, Stun setting, Superior"
ST-M40 Heavy Repeating Blaster Pistol,Ranged (Light),6,3,Short,2,2,,"2,100",5,"Auto-fire, Inaccurate 1"
Stun Blaster Attachment,Ranged (Light),5,-,Short,1,-,,750,5,"Stun Damage, Unwieldy 2"
SX-21 Pump-Action Scatter Blaster,Ranged (Heavy),10,3,Short,6,4,,"1,200",6,"Blast 6, Cumbersome 3, Prepare 1"
T-7 Ion Disruptor,Ranged (Heavy),12,2,Long,6,2,(R),"8,000",9,"Blast 6, Breach 2, Cumbersome 3, Slow-Firing 1, Vicious 6"
IDX-9 Ion Stunner,Ranged (Light),7,-,Medium,1,2,,300,4,"Ion, Stun Damage"
Variable Holdout Blaster,Ranged (Light),1-7,4,Short,1,0,,400,7,Limited Ammo 12
VES-700 Pulse Rifle,Ranged (Heavy),8,3,Medium,4,3,,950,6,"Blast 6, Stun setting"
"VX ""Sidewinder"" Repeating Blaster",Gunnery,12,3,Long,8,4,(R),"3,350",7,"Auto-fire, Cumbersome 5, Pierce 1, Vicious 1"
Weequay Blaster Lance,Ranged (Heavy),8,3,Extreme,5,2,,850,6,"Accurate 1, Cumbersome 2"
WESTAR-35 Blaster Pistol,Ranged (Light),6,2,Medium,1,3,,"1,200",8,"Accurate 1, Stun setting"
Wrist Blaster,Ranged (Light),6,3,Engaged,1,0,(R),"1,200",6,"Limited Ammo 1, Pierce 4"
"X-30 ""Lancer"" Precision Blaster Pistol",Ranged (Light),5,4,Long,1,3,,"1,000",5,"Accurate 1, Pierce 2"
"XL-2 ""Flashfire"" Light Blaster Pistol",Ranged (Light),5,3,Medium,1,3,,450,5,"Disorient 1, Stun setting"
Z-6 Rotary Blaster Cannon,Ranged (Heavy),12,4,Long,6,3,(R),"3,000",7,"Auto-fire (Only), Cumbersome 3, Prepare 1"
