Name,Skill,Dam,Crit,Range,Encumbrance,HP,(Restricted),Price,Rarity,Special,Category
"H-7 ""Equalizer"" Blaster Pistol",Ranged (Light),7,2,Medium,2,3,,"1,200",8,"Stun setting, Superior",BLASTERS
HBt-4 Hunting Blaster,Ranged (Heavy),10,3,Medium,5,2,,900,6,"Cumbersome 2, Stun setting",BLASTERS
Heartwood Blaster,Ranged (Heavy),6,5,Medium,3,1,,"1,000",6,"Cumbersome 2, Stun 3",BLASTERS
Heavy Blaster Pistol,Ranged (Light),7,3,Medium,2,3,,700,6,Stun setting,BLASTERS
Heavy Blaster Rifle,Ranged (Heavy),10,3,Long,6,4,,"1,500",6,"Auto-fire, Cumbersome 3",BLASTERS
Heavy Repeating Blaster,Gunnery,15,2,Long,9,4,(Restricted),"6,000",8,"Auto-fire, Cumbersome 5, Pierce 2, Vicious 1",BLASTERS
HH-50 Heavy Blaster Pistol,Ranged (Light),7,3,Short,3,2,,"1,300",7,"Linked 1, Stun Setting, Vicious 1",BLASTERS
HOB Heavy Repeating Blaster (GaG),Ranged (Heavy),10,3,Long,6,4,,"1,500",6,"Auto-fire, Cumbersome 3",BLASTERS
HOB Heavy Repeating Blaster (DC),Gunnery,15,3,Extreme,10,4,(Restricted),"6,500",8,"Auto-fire, Cumbersome 6, Pierce 2, Vicious 1",BLASTERS
Holdout Blaster,Ranged (Light),5,4,Short,1,1,,200,4,Stun setting,BLASTERS
Imperial Heavy Repeater,Ranged (Heavy),8,4,Medium,3,2,(Restricted),"1,500",7,"Auto-fire, Cumbersome 4",BLASTERS
"Ionization Blaster (GaG, AoR)",Ranged (Light),10,5,Short,3,3,,250,3,"Disorient 5, Ion",BLASTERS
Ionization Blaster (EotE),Ranged (Light),10,5,Short,3,3,,250,3,"Disorient 5, Stun Damage (Droid Only)",BLASTERS
"IR-5 ""Intimidator"" Blaster Pistol",Ranged (Light),5,3,Medium,2,2,(Restricted),750,6,"Auto-fire, Inaccurate 1",BLASTERS
J-10 Dual Blaster Cannon,Gunnery,13,2,Long,8,3,(Restricted),"6,750",7,"Cumbersome 5, Inaccurate 1, Linked 1",BLASTERS
KO-2 Heavy Stun Pistol,Ranged (Light),8,-,Short,2,3,,650,5,Stun Damage,BLASTERS
L7 Liquidsilver Light Blaster Pistol (GaG),Ranged (Light),6,3,Medium,1,1,,"1,000",5,"Accurate 1, Pierce 2",BLASTERS
L7 Liquidsilver Light Blaster Pistol (FC),Ranged (Light),6,3,Medium,1,1,,425,4,Stun setting,BLASTERS
LBR-9 Stun Rifle,Ranged (Heavy),10,-,Long,6,4,,"2,800",4,"Disorient 2, Stun Damage",BLASTERS
LD-1 Target Rifle,Ranged (Heavy),9,4,Extreme,6,3,,"1,275",7,"Accurate 2, Cumbersome 3, Pierce 3, Slow-Firing 1",BLASTERS
Light Blaster Pistol,Ranged (Light),5,4,Medium,1,2,,300,4,Stun setting,BLASTERS
Light Repeating Blaster,Ranged (Heavy),11,3,Long,7,4,(Restricted),"2,250",7,"Auto-fire, Cumbersome 4, Pierce 1",BLASTERS
LJ-40 Concussion Carbine,Ranged (Heavy),8,3,Short,4,1,(Restricted),"2,500",8,"Blast 3, Concussive 1, Knockdown, Limited Ammo 3",BLASTERS
LJ-50 Concussion Rifle,Ranged (Heavy),10,2,Medium,6,2,(Restricted),"2,000",7,"Blast 4, Concussive 2, Cumbersome 3, Knockdown, Limited Ammo 4",BLASTERS
Lucky Blaster,Ranged (Light),5,4,Medium,1,2,,400,10,Stun setting,BLASTERS
M-300 Hunting Blaster (GaG),Ranged (Heavy),8,3,Extreme,4,1,,"1,600",6,"Accurate 1, Cumbersome 2, Pierce 2, Stun Damage",BLASTERS
M-300 Hunting Blaster (SS Errata),Ranged (Heavy),8,3,Extreme,4,1,,"1,600",6,"Accurate 1, Cumbersome 2, Pierce 2, Stun setting",BLASTERS
Model 44 Blaster Pistol,Ranged (Light),6,3,Medium,1,4,,500,4,Stun setting,BLASTERS
Military Holdout Blaster,Ranged (Light),6,3,Short,1,0,,500,5,Stun setting,BLASTERS
"Model 53 ""Quicktrigger"" Blaster Pistol",Ranged (Light),6,3,Medium,1,4,,450,4,Stun setting,BLASTERS
Model 80 Blaster Pistol,Ranged (Light),6,2,Medium,2,3,,550,5,Stun setting,BLASTERS
Model Q4 Quickfire Holdout Blaster,Ranged (Light),5,3,Short,1,0,,250,4,Stun setting,BLASTERS
"Model-1 ""Nova Viper"" Blaster Pistol",Ranged (Light),7,3,Medium,2,2,,"4,500",9,"Accurate 2, Pierce 2, Stun setting",BLASTERS
Mon Calamari Battle Baton,Ranged (Light),5,4,Medium,1,1,,250,6,Stun setting,BLASTERS
Mon Calamari Spear Blaster,Ranged (Heavy),8,3,Long,5,3,,"1,350",5,Stun setting,BLASTERS
MR-90 Proton Rifle (GaG),Ranged (Heavy),10,2,Extreme,6,3,(Restricted),"3,100",8,"Accurate 1, Cumbersome 3, Knockdown",BLASTERS
MR-90 Proton Rifle (KoF),Ranged (Heavy),10,2,Extreme,6,2,(Restricted),"3,100",8,"Accurate 1, Cumbersome 3, Knockdown",BLASTERS
"MWC-35c ""Staccato Lightning"" Repeating Cannon (standard mode)",Gunnery,9,3,Long,5,2,,"3,000",7,"Auto-fire, Cumbersome 3, Pierce 2, Vicious 1",BLASTERS
"MWC-35c ""Staccato Lightning"" Repeating Cannon (single-shot mode)",Gunnery,13,3,Long,5,2,,"3,000",7,"Cumbersome 3, Pierce 4, Prepare 1, Vicious 2",BLASTERS
Nightstinger Blaster Rifle,Ranged (Heavy),10,2,Extreme,7,4,,"6,500",9,"Accurate 2, Cumbersome 3, Pierce 1, Stun setting",BLASTERS
OK-98 Blaster Carbine (stock),Ranged (Heavy),9,3,Medium,4,3,,"1,100",5,Stun setting,BLASTERS
OK-98 Blaster Carbine (modified),Ranged (Heavy),11,3,Medium,4,3,,"1,100",5,Stun setting,BLASTERS
PB08 Heavy Blaster Pistol,Ranged (Light),6,3,Medium,2,2,,800,6,Stun setting,BLASTERS
Pistol Hilt (stun blaster),Ranged (Light),6,3,Short,-,-,,750,5,Stun Damage,BLASTERS
Pulse Cannon,Ranged (Heavy),9,3,Extreme,5,1,(Restricted),"2,750",6,"Cumbersome 3, Pierce 2, Slow-Firing 1",BLASTERS
Reciprocating Quad Blaster Cannon,Gunnery,10,2,Long,8,4,(Restricted),"9,950",8,"Auto-fire (Only), Breach 1, Cumbersome 4, Inaccurate 1, Prepare 2",BLASTERS
SE-14C Blaster Pistol,Ranged (Light),5,4,Short,1,2,,650,6,"Auto-fire, Stun setting",BLASTERS
Secondary Ion Blaster,Ranged (Heavy),10,5,Short,2,-,,400,6,"Disorient 5, Ion",BLASTERS
Site-145 Replica Blaster Pistol,Ranged (Light),6,3,Medium,1,0,(Restricted),"1,750",8,Stun setting,BLASTERS
SKZ Sporting Blaster,Ranged (Heavy),8,4,Long,3,4,,600,4,Stun setting,BLASTERS
Spukami Pocket Blaster,Ranged (Light),5,3,Short,1,1,,200,2,Stun setting,BLASTERS
SSB-1 Static Pistol,Ranged (Light),2,4,Short,2,1,,850,7,"Disorient 1, Stun 8",BLASTERS
"Mk II ""Paladin"" Blaster Rifle",Ranged (Heavy),8,3,Long,4,2,,"3,250",8,"Auto-fire, Pierce 1, Stun setting, Superior",BLASTERS
ST-M40 Heavy Repeating Blaster Pistol,Ranged (Light),6,3,Short,2,2,,"2,100",5,"Auto-fire, Inaccurate 1",BLASTERS
Stun Blaster Attachment,Ranged (Light),5,-,Short,1,-,,750,5,"Stun Damage, Unwieldy 2",BLASTERS
SX-21 Pump-Action Scatter Blaster,Ranged (Heavy),10,3,Short,6,4,,"1,200",6,"Blast 6, Cumbersome 3, Prepare 1",BLASTERS
T-7 Ion Disruptor,Ranged (Heavy),12,2,Long,6,2,(Restricted),"8,000",9,"Blast 6, Breach 2, Cumbersome 3, Slow-Firing 1, Vicious 6",BLASTERS
IDX-9 Ion Stunner,Ranged (Light),7,-,Medium,1,2,,300,4,"Ion, Stun Damage",BLASTERS
Variable Holdout Blaster,Ranged (Light),1-7,4,Short,1,0,,400,7,Limited Ammo 12,BLASTERS
VES-700 Pulse Rifle,Ranged (Heavy),8,3,Medium,4,3,,950,6,"Blast 6, Stun setting",BLASTERS
"VX ""Sidewinder"" Repeating Blaster",Gunnery,12,3,Long,8,4,(Restricted),"3,350",7,"Auto-fire, Cumbersome 5, Pierce 1, Vicious 1",BLASTERS
Weequay Blaster Lance,Ranged (Heavy),8,3,Extreme,5,2,,850,6,"Accurate 1, Cumbersome 2",BLASTERS
WESTAR-35 Blaster Pistol,Ranged (Light),6,2,Medium,1,3,,"1,200",8,"Accurate 1, Stun setting",BLASTERS
Wrist Blaster,Ranged (Light),6,3,Engaged,1,0,(Restricted),"1,200",6,"Limited Ammo 1, Pierce 4",BLASTERS
"X-30 ""Lancer"" Precision Blaster Pistol",Ranged (Light),5,4,Long,1,3,,"1,000",5,"Accurate 1, Pierce 2",BLASTERS
"XL-2 ""Flashfire"" Light Blaster Pistol",Ranged (Light),5,3,Medium,1,3,,450,5,"Disorient 1, Stun setting",BLASTERS
Z-6 Rotary Blaster Cannon,Ranged (Heavy),12,4,Long,6,3,(Restricted),"3,000",7,"Auto-fire (Only), Cumbersome 3, Prepare 1",BLASTERS
CryoBan Projector,Ranged (Heavy),6,2,Short,3,0,,500,4,"Blast 6, Cumbersome 3, Vicious 2",EXOTIC & OTHER
CryoBan Rifle,Ranged (Light),6,-,Medium,2,1,,450,6,"Ensnare 1, Pierce 5, Stun Damage",EXOTIC & OTHER
L70 Acid Projector,Ranged (Heavy),6,2,Short,4,1,,"1,250",7,"Blast 6, Burn 3, Vicious 1",EXOTIC & OTHER
Spray Rifle,Ranged (Heavy),7,-,Medium,4,1,,"2,700",6,"Burn 3, Limited Ammo 3, Pierce 3, Prepare 1, Stun Damage",EXOTIC & OTHER
"AO14 ""Aranea"" Net Gun (SS)",Ranged (Heavy),3,NA,Medium,4,2,,775,5,"Ensnare 5, Limited Ammo 1",EXOTIC & OTHER
"AO14 ""Aranea"" Net Gun (EtU)",Ranged (Heavy),3,-,Medium,4,2,,750,5,Ensnare 5,EXOTIC & OTHER
"R-88 ""Suppressor"" Riot Rifle",Ranged (Heavy),8,-,Medium,4,2,,"2,000",5,"Blast 5, Disorient 3, Stun Damage",EXOTIC & OTHER
Spray Stick,Ranged (Heavy),0,-,Long,4,0,,"2,500",8,"Accurate 2, Ensnare 4, Slow-Firing 1, Stun 8",EXOTIC & OTHER
Tangle Gun 7,Ranged (Heavy),1,4,Short,2,1,,500,5,Ensnare 3,EXOTIC & OTHER
"""Lightning"" 22 Ion Grenade",Ranged (Light),10,5,Short,1,0,,65,4,"Blast 7, Disorient 5, Limited Ammo 1, Stun Damage (Droid Only)",GRENADES
AP-M1 Armor Piercing Grenade,Ranged (Light),13,3,Short,1,0,(Restricted),200,6,"Blast 4, Limited Ammo 1, Pierce 4",GRENADES
Armor-piercing Grenade,Ranged (Light),13,3,Short,1,0,,100,6,"Blast 4, Limited Ammo 1, Pierce 3",GRENADES
"BKX-4 ""Shockwave"" Grenade",Ranged (Light),10,5,Short,1,0,(Restricted),150,5,"Blast 8, Knockdown, Disorient 4 Limited Ammo 1",GRENADES
Blue Shadow Grenade,Ranged (Light),3,3,Short,1,0,(Restricted),"2,000",9,"Blast 3, Limited Ammo 1",GRENADES
Knockout Mine,Ranged (Light),6,NA,Short,1,0,,200,6,"Stun Damage, Limited Ammo 1",GRENADES
Concussion Grenade,Ranged (Light),10,5,Short,1,0,(Restricted),100,5,"Blast 8, Concussive 2, Disorient 5, Limited Ammo 1",GRENADES
"D-24 ""Inferno"" Grenade (GaG)",Ranged (Light),8,3,Short,1,0,(Restricted),75,5,"Blast 3, Limited Ammo 1",GRENADES
"D-24 ""Inferno"" Grenade (DC)",Ranged (Light),8,3,Short,1,0,(Restricted),75,5,"Blast 5, Burn 2, Limited Ammo 1",GRENADES
Fragmentation Grenade,Ranged (Light),8,4,Short,1,0,,50,5,"Blast 6, Limited Ammo 1",GRENADES
G-20 Glop Grenade (GaG),Ranged (Light),0,-,Short,1,0,,100,6,"Ensnare 3, Limited Ammo 1",GRENADES
G-20 Glop Grenade (EtU),Ranged (Light),-,-,Short,1,0,,100,6,"Blast -, Ensnare 3",GRENADES
Mk.4 Heavy Fragmentation Grenade,Ranged (Light),9,4,Short,1,0,(Restricted),75,5,"Blast 7, Limited Ammo 1, Cumbersome 2",GRENADES
"""Mercy"" Grenade",Ranged (Light),5,-,Short,1,0,,175,8,"Blast 5, Limited Ammo 1, Stun Damage",GRENADES
Incendiary Grenade,Ranged (Light),8,3,Short,1,0,(Restricted),125,6,"Blast 8, Burn 3, Limited Ammo 1",GRENADES
Knockout Grenade,Ranged (Light),12,NA,Short,1,0,,120,5,"Blast 10, Stun Damage, Limited Ammo 1",GRENADES
Mk II EMP Grenade,Ranged (Light),8,4,Short,1,0,,150,5,"Blast 6, Disorient 3, Ion, Limited Ammo 1",GRENADES
Molten Magnet,Ranged (Light),9,4,Short,1,0,(Restricted),"1,500",6,"Breach 1, Burn 1, Limited Ammo 1, Sunder",GRENADES
N-4 Noise Grenade,Ranged (Light),4,6,Short,1,0,,150,5,"Blast 4, Concussive 1, Limited Ammo 1, Stun Damage",GRENADES
Plasma Grenade,Ranged (Light),12,3,Short,1,0,,125,6,"Blast 10, Limited Ammo 1",GRENADES
Poison Gas Grenade,Ranged (Light),0,-,Short,1,0,,50,5,"Blast 2, Limited Ammo 1",GRENADES
Quillbomb,Ranged (Light),5,2,Short,1,0,(Restricted),100,6,"Pierce 2, Blast 3, Limited Ammo 1, Vicious 3",GRENADES
Shaped Thermal Grenade (GaG),Ranged (Light),20,2,Short,1,0,(Restricted),"3,500",5,"Breach 2, Limited Ammo 1, Vicious 5",GRENADES
Shaped Thermal Grenade (FiB),Ranged (Light),20,2,Short,1,0,(Restricted),"3,500",8,"Breach 2, Limited Ammo 1, Vicious 5",GRENADES
Sonic Grenade,Ranged (Light),10,4,Short,1,0,(Restricted),250,6,"Blast 8, Disorient 5, Limited Ammo 1, Stun Damage",GRENADES
Spore Stun Grenade (GaG),Ranged (Light),8,-,Short,1,0,,100,7,"Blast 7, Concussive 2, Limited Ammo 1, Pierce 3, Stun Damage",GRENADES
Spore Stun Grenade (DoH),Ranged (Light),8,-,Short,1,0,,100,7,"Blast 7, Limited Ammo 1, Pierce 3, Stun Damage",GRENADES
Spore/B Stun Grenade,Ranged (Light),6,3,Short,1,0,,400,5,"Blast 6, Concussive 2, Limited Ammo 1, Stun Damage",GRENADES
Spray Foam Grenade,Ranged (Light),-,-,Short,1,0,,150,5,"Ensnare 4, Limited Ammo 1",GRENADES
Stun Grenade,Ranged (Light),8,NA,Short,1,0,,75,4,"Blast 8, Disorient 3, Limited Ammo 1, Stun Damage",GRENADES
Thermal Detonator,Ranged (Light),20,2,Short,1,0,(Restricted),"2,000",8,"Blast 15, Breach 1, Limited Ammo 1, Vicious 4",GRENADES
Wipe-3 Data-Purge Grenade,Ranged (Light),-,-,Short,1,0,,100,7,Limited Ammo 1,GRENADES
WP-19 Incendiary Grenade,Ranged (Light),8,3,Short,1,0,(Restricted),125,6,"Blast 8, Burn 4, Limited 1",GRENADES
WW-41 CryoBan Grenade,Ranged (Light),8,2,Short,1,0,,220,7,"Blast 6, Disorient 3, Ensnare 3, Limited Ammo 1, Vicious 2",GRENADES
CSPL-12 Projectile Launcher (frag grenades),Ranged (Light),8,4,Medium,2,2,(Restricted),"1,200",6,"Blast 6, Limited Ammo 3",LAUNCHERS
Gungan Atlatl (plasma ball),Ranged (Light),5,3,Medium,2,0,,100,7,"Accurate 1, Burn 1, Ion, Limited Ammo 1",LAUNCHERS
"M9 ""Boomer"" Heavy Pistol",Ranged (Light),5,3,Medium,3,2,,"1,000",6,"Blast 5, Cumbersome 2, Inaccurate 1",LAUNCHERS
Micro-Rocket Launcher Pistol,Ranged (Light),0,-,Medium,3,0,,500,7,,LAUNCHERS
Missile Tube (standard),Gunnery,20,2,Extreme,7,4,(Restricted),"7,500",8,"Blast 10, Breach 1, Cumbersome 3, Guided 3, Limited Ammo 6, Prepare 1",LAUNCHERS
Mini-Torpedo Launcher (default),Ranged (Heavy),8,2,Long,4,4,,"2,000",6,"Blast 6, Cumbersome 2, Limited Ammo 2",LAUNCHERS
RGL-318 Rotary Grenade Launcher (frag grenades),Gunnery,8,4,Medium,5,3,(Restricted),"1,000",3,"Blast 6, Cumbersome 3, Limited Ammo 5",LAUNCHERS
"RLR-331 ""Bulldog"" Rocket Rifle",Ranged (Heavy),10,4,Long,6,3,(Restricted),"2,200",7,"Blast 8, Cumbersome 3, Guided 3, Limited Ammo 6",LAUNCHERS
RPS-6 Rocket Launcher,Gunnery,22,2,Extreme,8,4,(Restricted),"8,200",8,"Blast 14, Breach 1, Cumbersome 4, Guided 2, Limited Ammo 7",LAUNCHERS
Z50 Grenade Launcher (frag grenades),Gunnery,8,4,Medium,5,3,(Restricted),"1,250",4,"Blast 6, Cumbersome 3, Limited Ammo 6",LAUNCHERS
Boba Fett's Armor (integrated flamethrower),Ranged (Light),5,2,Short,6,0,,Not for Sale,10,"Blast 2, Burn 2, Pierce 2, Vicious 3",LEGENDARY
Boba Fett's Armor (integrated jetpack missile tube),Gunnery,20,2,Extreme,6,0,,Not for Sale,10,"Blast 10, Breach 1, Cumbersome 3, Guided 3, Limited Ammo 1, Prepare 1",LEGENDARY
Boba Fett's Armor (integrated whipcord),Ranged (Light),1,-,Short,6,0,,Not for Sale,10,"Ensnare 3, Knockdown, Limited Ammo 1",LEGENDARY
Chewbacca's Bowcaster,Ranged (Heavy),10,4,Medium,5,-,,Not for Sale,10,"Cumbersome 3, Knockdown, Quarrel Bandolier",LEGENDARY
Han Solo's Customized DL-44 Heavy Blaster Pistol,Ranged (Light),7,3,Medium,2,-,,Not for Sale,10,"Stun setting, Overcharged",LEGENDARY
Qi'ra's Monlitzer S-195 Blaster Pistol,Ranged (Light),5,3,Medium,1,-,,Not for Sale,10,"Implied Violence, Linked 1, Stun setting, Superior",LEGENDARY
Anti-Armor Micro-Rocket,Ranged (Heavy),8,4,Short,1,1,,300,5,"Breach 1, Limited Ammo 1",MICRO-ROCKETS
Explosive Micro-Rocket,Ranged (Heavy),7,2,Short,1,1,,150,4,"Blast 6, Limited Ammo 1",MICRO-ROCKETS
Flechette Micro-Rocket,Ranged (Heavy),6,2,Short,1,1,,175,5,"Blast 5, Limited Ammo 1, Vicious 2",MICRO-ROCKETS
Incendiary Micro-Rocket,Ranged (Heavy),6,3,Short,1,1,,175,5,"Blast 6, Burn 2, Limited Ammo 1",MICRO-ROCKETS
Ion Micro-Rocket,Ranged (Heavy),10,3,Short,1,1,,100,6,"Ion, Limited Ammo 1, Sunder",MICRO-ROCKETS
